,Name,Artist,Link
0,Heeriye,Arijit Singh,https://www.youtube.com/watch?v=4VwtfInG-LU&list=PLgvCwzTvwOFg6aFPzBrtxXnbLkXiC7fki&index=1
1,RATAN LAMBIIYAN,Jubin Nautiyal,https://www.youtube.com/watch?v=gvyUuxdRdR4&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=2
3,ZALIMA,Harshdeep Kaur,https://www.youtube.com/watch?v=gx4bS5q7ly4&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=3
4,kasoor,prateek kulhad,https://www.youtube.com/watch?v=BmUe3-sfr7E&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=4
5,kho gaye hum kaha,prateek kulhad,https://www.youtube.com/watch?v=VA0V8rQpqwQ&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=5
6,namo namo,amit trivedi,https://www.youtube.com/watch?v=HFX6AZ5bDDo&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=6
7,tere sang yara,atif aslam,https://www.youtube.com/watch?v=5mpq_4rzB1U&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=7
8,kaun hai vo,kailash kher,https://www.youtube.com/watch?v=WibcvWT7KQQ&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=8
9,Liggi,ritviz,https://www.youtube.com/watch?v=6BYIKEH0RCQ&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=9
10,udd gaye,ritviz,https://www.youtube.com/watch?v=v2-9rIL_f4w&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=10
11,chalo chalein,ritviz,https://www.youtube.com/watch?v=SMYlmmHQ2IQ&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=11
12,khayaal,talwinder,https://www.youtube.com/watch?v=JFUoE0ArWd4&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=12
13,unforgettable,talwinder,https://www.youtube.com/watch?v=_ubjUywzhjM&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=13
14,akhiyan,mitraz,https://www.youtube.com/watch?v=xEALTVLxrDw&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=14
15,pasoori,Ali Seth,https://www.youtube.com/watch?v=5Eqb_-j3FDA&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=15
16,Makhna,Tanishk ,https://www.youtube.com/watch?v=HqUeSjsYLNU&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=16
17,har fun Maula,Tanishk B,https://www.youtube.com/watch?v=94o73K5T0MQ&list=PLmQj3u8DC8VtmfZjj3fLrdTL6d78ZH_MI&index=17
